GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2011,MEASLES,Measles,"per 1,000,000 total population",215.4
WHO_REGIONS,AFR,African Region,2011,MUMPS,Mumps,"per 1,000,000 total population",34.0
WHO_REGIONS,AFR,African Region,2011,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2011,PERTUSSIS,Pertussis,"per 1,000,000 total population",10.4
WHO_REGIONS,AFR,African Region,2011,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.0
WHO_REGIONS,AFR,African Region,2011,RUBELLA,Rubella,"per 1,000,000 total population",18.6
WHO_REGIONS,AFR,African Region,2011,TTETANUS,Total tetanus,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2011,YFEVER,Yellow fever,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2010,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2010,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2010,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2010,MEASLES,Measles,"per 1,000,000 total population",228.0
WHO_REGIONS,AFR,African Region,2010,MUMPS,Mumps,"per 1,000,000 total population",85.3
WHO_REGIONS,AFR,African Region,2010,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2010,PERTUSSIS,Pertussis,"per 1,000,000 total population",12.6
WHO_REGIONS,AFR,African Region,2010,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.9
WHO_REGIONS,AFR,African Region,2010,RUBELLA,Rubella,"per 1,000,000 total population",3.8
WHO_REGIONS,AFR,African Region,2010,TTETANUS,Total tetanus,"per 1,000,000 total population",5.8
WHO_REGIONS,AFR,African Region,2010,YFEVER,Yellow fever,"per 1,000,000 total population",1.2
WHO_REGIONS,AFR,African Region,2009,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2009,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2009,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2009,MEASLES,Measles,"per 1,000,000 total population",98.2
WHO_REGIONS,AFR,African Region,2009,MUMPS,Mumps,"per 1,000,000 total population",17.8
WHO_REGIONS,AFR,African Region,2009,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2009,PERTUSSIS,Pertussis,"per 1,000,000 total population",29.0
WHO_REGIONS,AFR,African Region,2009,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.3
